caseid,feelings_life,education,average_hours_worked,self_rated_mental_health,income_respondent,number_marriages
274,8,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
275,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
276,8,University certificate or diploma below the bachelor's level,40.1 to 50.0 hours,Very good,"$75,000 to $99,999",1
277,1,University certificate or diploma below the bachelor's level,NA,Good,"$25,000 to $49,999",1
278,9,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",0
279,7,Trade certificate or diploma,NA,Good,"$25,000 to $49,999",1
280,8,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",1
281,10,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"$75,000 to $99,999",1
282,8,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",1
283,10,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",0
284,10,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
285,8,Less than high school diploma or its equivalent,NA,Fair,"Less than $25,000",0
286,9,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
287,NA,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
288,NA,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
289,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Good,"Less than $25,000",0
290,10,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Excellent,"Less than $25,000",0
291,9,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
292,6,High school diploma or a high school equivalency certificate,NA,Very good,"$50,000 to $74,999",1
293,8,Trade certificate or diploma,NA,Excellent,"$50,000 to $74,999",0
294,10,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Very good,"$100,000 to $ 124,999",0
295,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
296,8,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",1
297,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Very good,"$25,000 to $49,999",0
298,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"$25,000 to $49,999",1
299,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$125,000 and more",1
300,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",0
301,10,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Very good,"$25,000 to $49,999",1
302,8,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",1
303,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
304,5,University certificate or diploma below the bachelor's level,NA,Fair,"Less than $25,000",0
305,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
306,9,Trade certificate or diploma,50.1 hours and more,Good,"Less than $25,000",1
307,9,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
308,9,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",2
309,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
310,5,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
311,10,"University certificate, diploma or degree above the bach...",NA,Excellent,"$25,000 to $49,999",0
312,7,Trade certificate or diploma,30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
313,9,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
314,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Very good,"Less than $25,000",1
315,7,Trade certificate or diploma,NA,Good,"Less than $25,000",0
316,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Excellent,"$125,000 and more",0
317,8,NA,NA,Excellent,"$50,000 to $74,999",1
318,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
319,7,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",0
320,6,"University certificate, diploma or degree above the bach...",NA,Excellent,"$125,000 and more",1
321,8,High school diploma or a high school equivalency certificate,50.1 hours and more,Excellent,"$100,000 to $ 124,999",1
322,7,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Good,"$75,000 to $99,999",0
323,4,Trade certificate or diploma,NA,Fair,"Less than $25,000",1
324,9,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
325,9,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",1
326,9,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",0
327,0,Less than high school diploma or its equivalent,NA,Poor,"Less than $25,000",1
328,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
329,6,Trade certificate or diploma,30.0 to 40.0 hours,Fair,"$25,000 to $49,999",0
330,7,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",0
331,10,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$125,000 and more",1
332,8,Trade certificate or diploma,30.0 to 40.0 hours,Good,"$100,000 to $ 124,999",1
333,7,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Good,"$25,000 to $49,999",0
334,5,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
335,8,High school diploma or a high school equivalency certificate,NA,Excellent,"$50,000 to $74,999",0
336,7,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",0
337,0,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Poor,"Less than $25,000",1
338,8,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$75,000 to $99,999",1
339,9,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
340,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Very good,"$25,000 to $49,999",1
341,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",2
342,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
343,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
344,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
345,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"Less than $25,000",1
346,8,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
347,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"Less than $25,000",0
348,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
349,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",1
350,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
351,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
352,7,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Good,"$25,000 to $49,999",1
353,10,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Good,"$50,000 to $74,999",1
354,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"Less than $25,000",1
355,10,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",2
356,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",1
357,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"Less than $25,000",0
358,6,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Very good,"$100,000 to $ 124,999",1
359,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$125,000 and more",1
360,3,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Poor,"Less than $25,000",1
361,8,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",1
362,9,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",1
363,10,"College, CEGEP or other non-university certificate or di...",NA,Good,"Less than $25,000",1
364,7,Trade certificate or diploma,NA,Good,"Less than $25,000",1
365,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
366,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
367,7,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",0
368,7,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$50,000 to $74,999",1
369,7,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Good,"Less than $25,000",0
370,8,"College, CEGEP or other non-university certificate or di...",NA,Good,"$50,000 to $74,999",1
371,8,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Excellent,"Less than $25,000",0
372,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Fair,"Less than $25,000",1
373,8,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Very good,"$100,000 to $ 124,999",2
374,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"Less than $25,000",1
375,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$100,000 to $ 124,999",1
376,10,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
377,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
378,10,Trade certificate or diploma,NA,Excellent,"$50,000 to $74,999",1
379,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$125,000 and more",1
380,9,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
381,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
382,6,Trade certificate or diploma,NA,Good,"$50,000 to $74,999",1
383,8,Trade certificate or diploma,30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
384,6,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"Less than $25,000",0
385,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"$25,000 to $49,999",2
386,10,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",0
387,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Very good,"$125,000 and more",1
388,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",1
389,8,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Very good,"$50,000 to $74,999",0
390,8,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",1
391,9,"University certificate, diploma or degree above the bach...",50.1 hours and more,Very good,"$125,000 and more",1
392,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
393,10,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",2
394,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
395,7,NA,NA,Excellent,"Less than $25,000",1
396,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"Less than $25,000",0
397,9,"University certificate, diploma or degree above the bach...",40.1 to 50.0 hours,Excellent,"$75,000 to $99,999",0
398,9,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
399,9,"University certificate, diploma or degree above the bach...",40.1 to 50.0 hours,Very good,"$50,000 to $74,999",1
400,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"Less than $25,000",0
401,9,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
402,9,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
403,10,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",0
404,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Very good,"$50,000 to $74,999",1
405,8,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
406,4,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Fair,"$75,000 to $99,999",3
407,10,Trade certificate or diploma,NA,Very good,"$50,000 to $74,999",0
408,9,Trade certificate or diploma,0.1 to 29.9 hours,Good,"Less than $25,000",0
409,10,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
410,7,"University certificate, diploma or degree above the bach...",NA,Very good,"$50,000 to $74,999",1
411,9,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
412,8,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$25,000 to $49,999",1
413,7,Trade certificate or diploma,30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
414,8,Trade certificate or diploma,NA,Very good,"$25,000 to $49,999",1
415,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
416,5,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",1
417,10,High school diploma or a high school equivalency certificate,50.1 hours and more,Excellent,"$25,000 to $49,999",0
418,8,University certificate or diploma below the bachelor's level,NA,Very good,"Less than $25,000",1
419,5,Trade certificate or diploma,NA,Very good,"Less than $25,000",1
420,8,University certificate or diploma below the bachelor's level,0.1 to 29.9 hours,Very good,"Less than $25,000",0
421,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Don't know,Excellent,"Less than $25,000",0
422,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
423,8,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Very good,"$75,000 to $99,999",0
424,5,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Very good,"$25,000 to $49,999",1
425,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$100,000 to $ 124,999",1
426,8,"University certificate, diploma or degree above the bach...",50.1 hours and more,Good,"$75,000 to $99,999",1
427,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"$50,000 to $74,999",1
428,9,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Good,"$25,000 to $49,999",1
429,10,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"Less than $25,000",0
430,7,Trade certificate or diploma,30.0 to 40.0 hours,Fair,"$25,000 to $49,999",0
