caseid,feelings_life,education,average_hours_worked,self_rated_mental_health,income_respondent,number_marriages
197,9,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"$75,000 to $99,999",1
198,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"$100,000 to $ 124,999",1
199,5,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Fair,"$50,000 to $74,999",1
200,NA,Less than high school diploma or its equivalent,50.1 hours and more,Good,"$50,000 to $74,999",1
201,8,NA,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
202,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Excellent,"$100,000 to $ 124,999",1
203,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Excellent,"$75,000 to $99,999",0
204,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
205,10,Less than high school diploma or its equivalent,40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",1
206,7,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",1
207,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$125,000 and more",1
208,6,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
209,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Fair,"$50,000 to $74,999",2
210,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"Less than $25,000",1
211,9,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
212,9,"University certificate, diploma or degree above the bach...",NA,Excellent,"$100,000 to $ 124,999",1
213,9,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"Less than $25,000",0
214,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",2
215,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"Less than $25,000",1
216,9,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Very good,"Less than $25,000",0
217,6,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
218,8,Trade certificate or diploma,30.0 to 40.0 hours,Very good,"$125,000 and more",1
219,9,Trade certificate or diploma,NA,Very good,"$50,000 to $74,999",1
220,10,Less than high school diploma or its equivalent,50.1 hours and more,Very good,"Less than $25,000",1
221,8,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
222,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Excellent,"Less than $25,000",0
223,9,Trade certificate or diploma,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
224,10,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Good,"Less than $25,000",1
225,5,Less than high school diploma or its equivalent,NA,Poor,"Less than $25,000",1
226,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"Less than $25,000",1
227,9,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
228,4,NA,NA,Fair,"Less than $25,000",1
229,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
230,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
231,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",1
232,1,"University certificate, diploma or degree above the bach...",NA,Very good,"Less than $25,000",1
233,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",2
234,9,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",0
235,8,Trade certificate or diploma,Don't know,Good,"Less than $25,000",0
236,10,Trade certificate or diploma,50.1 hours and more,Very good,"Less than $25,000",1
237,9,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Excellent,"Less than $25,000",0
238,5,High school diploma or a high school equivalency certificate,NA,Fair,"Less than $25,000",1
239,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
240,8,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Very good,"$25,000 to $49,999",1
241,8,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Good,"$100,000 to $ 124,999",1
242,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",0
243,10,Trade certificate or diploma,NA,Very good,"$25,000 to $49,999",1
244,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
245,5,Less than high school diploma or its equivalent,NA,Good,"$50,000 to $74,999",0
246,8,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
247,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"$25,000 to $49,999",1
248,5,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Poor,"Less than $25,000",0
249,6,High school diploma or a high school equivalency certificate,NA,Fair,"$25,000 to $49,999",1
